القطاع,القسم,الإدارة,التنظيم الإداري,اسم العقد,المقاول الرئيسي,اسم المشروع,التصنيف الاقتصادي,رأسمالي / تشغيلي,التصنيف الصناعي,قيمة الارتباط,المدة,تاريخ الترسية,تاريخ نهاية العقد
البلدية,الخدمات,المدينة,فرعي,عقد رقم 2024-009,شركة بن لادن السعودية,ترميم وتجديد,الصيانة الدورية,مختلط,صيانة,390000,3,2022-06-18,2022-09-16
التعليم,الصيانة,الدمام,مركزي,عقد رقم 2024-010,شركة عبدالله عبدالمحسن الخضري,أعمال السباكة,التطوير والصيانة,مختلط,مقاولات عامة,5010000,12,2023-06-13,2024-06-07
الصحة,الصيانة,القصيم,إقليمي,عقد رقم 2024-011,شركة المباني الحديثة,صيانة دورية,الصيانة الدورية,تشغيلي,خدمات فنية,1970000,18,2022-04-10,2023-10-02
الداخلية,التطوير,حائل,مركزي,عقد رقم 2024-012,شركة عبدالله عبدالمحسن الخضري,إنشاءات جديدة,المشاريع الاستراتيجية,مختلط,إنشاءات,150000,24,2024-07-28,2026-07-18
الصحة,الخدمات,المدينة,إقليمي,عقد رقم 2024-013,شركة المباني الحديثة,تطوير المرافق,المشاريع الاستراتيجية,مختلط,مقاولات عامة,1210000,6,2023-02-18,2023-08-17
الداخلية,التطوير,حائل,مركزي,عقد رقم 2024-014,شركة الفطيم للمقاولات,تطوير البنية التحتية,التطوير والصيانة,رأسمالي,مقاولات عامة,8500000,18,2024-04-25,2025-10-17
البلدية,العمليات,تبوك,إقليمي,عقد رقم 2024-015,مجموعة الزامل,صيانة دورية,مشاريع البنية التحتية,مختلط,خدمات فنية,3920000,18,2023-07-21,2025-01-11
الإسكان,العمليات,جدة,فرعي,عقد رقم 2024-016,شركة الفطيم للمقاولات,الخدمات الكهربائية,التطوير والصيانة,رأسمالي,خدمات متخصصة,400000,24,2021-05-23,2023-05-13
الداخلية,المشاريع,مكة,فرعي,عقد رقم 2024-017,شركة عبدالله عبدالمحسن الخضري,صيانة الطرق,الخدمات العامة,رأسمالي,صيانة,22760000,12,2021-07-05,2022-06-30
الصحة,الصيانة,أبها,مركزي,عقد رقم 2024-018,مجموعة الزامل,صيانة المباني,المشاريع الاستراتيجية,تشغيلي,خدمات متخصصة,100000,36,2024-09-08,2027-08-24
البلدية,العمليات,أبها,فرعي,عقد رقم 2024-019,مجموعة الزامل,أنظمة التكييف,المشاريع الاستراتيجية,رأسمالي,خدمات متخصصة,48550000,60,2021-10-07,2026-09-11
الداخلية,الخدمات,الرياض,إقليمي,عقد رقم 2024-020,مجموعة صافولا,أعمال النظافة,الخدمات العامة,تشغيلي,إنشاءات,1380000,3,2020-09-19,2020-12-18
الصحة,المشاريع,تبوك,مركزي,عقد رقم 2024-021,شركة أرامكو للخدمات,الخدمات الكهربائية,الصيانة الدورية,تشغيلي,صيانة,510000,60,2023-12-01,2028-11-04
النقل,العمليات,الطائف,فرعي,عقد رقم 2024-022,شركة الفطيم للمقاولات,أعمال السباكة,الخدمات العامة,تشغيلي,خدمات فنية,290000,24,2023-01-28,2025-01-17
النقل,المشاريع,حائل,فرعي,عقد رقم 2024-023,مجموعة السعودي الفرنسي,تشغيل وصيانة المرافق,التطوير والصيانة,رأسمالي,خدمات متخصصة,140000,48,2022-01-17,2025-12-27
الإسكان,المشاريع,أبها,مركزي,عقد رقم 2024-024,شركة الراجحي للمقاولات,أعمال السباكة,المشاريع الاستراتيجية,رأسمالي,خدمات متخصصة,460000,48,2022-06-04,2026-05-14
الدفاع,الخدمات,حائل,مركزي,عقد رقم 2024-025,مجموعة صافولا,تطوير البنية التحتية,الخدمات العامة,رأسمالي,صيانة,4510000,36,2022-12-29,2025-12-13
الصحة,التطوير,الطائف,إقليمي,عقد رقم 2024-026,شركة أرامكو للخدمات,الخدمات الكهربائية,الصيانة الدورية,مختلط,خدمات فنية,1820000,24,2024-07-24,2026-07-14
البلدية,الخدمات,مكة,فرعي,عقد رقم 2024-027,شركة عبدالله عبدالمحسن الخضري,الخدمات الكهربائية,التطوير والصيانة,مختلط,خدمات متخصصة,1230000,3,2021-12-05,2022-03-05
النقل,العمليات,أبها,فرعي,عقد رقم 2024-028,شركة الراجحي للمقاولات,أعمال النظافة,التطوير والصيانة,تشغيلي,خدمات متخصصة,35570000,60,2022-09-25,2027-08-30
الصحة,المشاريع,الطائف,فرعي,عقد رقم 2024-029,شركة أرامكو للخدمات,الخدمات الكهربائية,التطوير والصيانة,مختلط,خدمات فنية,2590000,48,2023-03-16,2027-02-23
البلدية,العمليات,حائل,محلي,عقد رقم 2024-030,مجموعة صافولا,إنشاءات جديدة,الخدمات العامة,رأسمالي,صيانة,280000,48,2023-05-24,2027-05-03
الإسكان,الصيانة,مكة,فرعي,عقد رقم 2024-031,مجموعة صافولا,تطوير البنية التحتية,مشاريع البنية التحتية,رأسمالي,مقاولات عامة,9880000,18,2024-01-30,2025-07-23
النقل,الصيانة,جدة,إقليمي,عقد رقم 2024-032,شركة النهدي للتطوير,إنشاءات جديدة,مشاريع البنية التحتية,مختلط,مقاولات عامة,250000,3,2023-01-28,2023-04-28
الداخلية,المشاريع,الدمام,فرعي,عقد رقم 2024-033,شركة بن لادن السعودية,صيانة المباني,التطوير والصيانة,تشغيلي,مقاولات عامة,190000,18,2021-09-25,2023-03-19
الإسكان,الخدمات,الدمام,محلي,عقد رقم 2024-034,مؤسسة محمد الموسى,تشغيل وصيانة المرافق,الصيانة الدورية,تشغيلي,خدمات متخصصة,780000,24,2022-08-14,2024-08-03
النقل,المشاريع,جدة,محلي,عقد رقم 2024-035,شركة عبدالله عبدالمحسن الخضري,الخدمات الكهربائية,المشاريع الاستراتيجية,تشغيلي,صيانة,42320000,24,2023-08-03,2025-07-23
البلدية,المشاريع,الطائف,إقليمي,عقد رقم 2024-036,شركة الفطيم للمقاولات,صيانة دورية,مشاريع البنية التحتية,مختلط,مقاولات عامة,470000,3,2021-09-13,2021-12-12
الداخلية,العمليات,حائل,فرعي,عقد رقم 2024-037,شركة بن لادن السعودية,صيانة دورية,التطوير والصيانة,رأسمالي,مقاولات عامة,450000,60,2024-03-27,2029-03-01
الإسكان,التطوير,تبوك,فرعي,عقد رقم 2024-038,شركة عبدالله عبدالمحسن الخضري,تطوير البنية التحتية,المشاريع الاستراتيجية,مختلط,صيانة,840000,48,2024-12-11,2028-11-20
النقل,العمليات,تبوك,فرعي,عقد رقم 2024-039,مجموعة السعودي الفرنسي,إنشاءات جديدة,الخدمات العامة,تشغيلي,إنشاءات,430000,24,2022-11-24,2024-11-13
الإسكان,الخدمات,أبها,فرعي,عقد رقم 2024-040,شركة أرامكو للخدمات,صيانة المباني,الخدمات العامة,رأسمالي,خدمات متخصصة,4280000,60,2023-07-28,2028-07-01
الدفاع,المشاريع,أبها,مركزي,عقد رقم 2024-041,مجموعة العليان,تطوير البنية التحتية,الخدمات العامة,رأسمالي,مقاولات عامة,28930000,12,2020-02-15,2021-02-09
الدفاع,التطوير,الرياض,إقليمي,عقد رقم 2024-042,مجموعة السعودي الفرنسي,إنشاءات جديدة,مشاريع البنية التحتية,تشغيلي,مقاولات عامة,1540000,36,2021-03-20,2024-03-04
الدفاع,التطوير,الرياض,مركزي,عقد رقم 2024-043,شركة المباني الحديثة,صيانة الطرق,المشاريع الاستراتيجية,تشغيلي,صيانة,490000,60,2020-05-26,2025-04-30
البلدية,الصيانة,القصيم,فرعي,عقد رقم 2024-044,شركة الفطيم للمقاولات,أعمال السباكة,التطوير والصيانة,تشغيلي,صيانة,430000,3,2024-02-19,2024-05-19
النقل,الصيانة,المدينة,محلي,عقد رقم 2024-045,مؤسسة محمد الموسى,أنظمة التكييف,الخدمات العامة,تشغيلي,إنشاءات,6610000,3,2023-07-12,2023-10-10
الإسكان,التطوير,الطائف,مركزي,عقد رقم 2024-046,شركة الراجحي للمقاولات,أنظمة التكييف,الصيانة الدورية,رأسمالي,مقاولات عامة,25830000,18,2024-11-03,2026-04-27
النقل,التطوير,حائل,فرعي,عقد رقم 2024-047,شركة أرامكو للخدمات,تطوير البنية التحتية,الخدمات العامة,رأسمالي,مقاولات عامة,70000,18,2024-06-04,2025-11-26
الصحة,العمليات,الدمام,مركزي,عقد رقم 2024-048,شركة الراجحي للمقاولات,تطوير المرافق,الخدمات العامة,تشغيلي,خدمات متخصصة,14030000,36,2020-07-06,2023-06-21
الإسكان,المشاريع,الرياض,محلي,عقد رقم 2024-049,شركة أرامكو للخدمات,تشغيل وصيانة المرافق,الخدمات العامة,تشغيلي,إنشاءات,5680000,36,2024-06-02,2027-05-18
الإسكان,التطوير,مكة,فرعي,عقد رقم 2024-050,مجموعة الزامل,الخدمات الكهربائية,التطوير والصيانة,مختلط,مقاولات عامة,1630000,60,2022-09-20,2027-08-25
الداخلية,العمليات,المدينة,إقليمي,عقد رقم 2024-051,شركة الفطيم للمقاولات,صيانة المباني,الصيانة الدورية,تشغيلي,صيانة,130000,12,2021-07-17,2022-07-12
البلدية,الخدمات,مكة,إقليمي,عقد رقم 2024-052,شركة المباني الحديثة,تطوير البنية التحتية,الصيانة الدورية,تشغيلي,صيانة,5050000,3,2024-12-13,2025-03-13
النقل,العمليات,الطائف,محلي,عقد رقم 2024-053,مؤسسة محمد الموسى,الخدمات الكهربائية,مشاريع البنية التحتية,رأسمالي,خدمات متخصصة,3290000,60,2022-12-09,2027-11-13
التعليم,الصيانة,مكة,مركزي,عقد رقم 2024-054,شركة الفطيم للمقاولات,صيانة الطرق,مشاريع البنية التحتية,رأسمالي,خدمات متخصصة,110000,6,2023-09-11,2024-03-09
النقل,الخدمات,المدينة,مركزي,عقد رقم 2024-055,شركة أرامكو للخدمات,صيانة الطرق,الصيانة الدورية,مختلط,إنشاءات,6410000,48,2023-08-07,2027-07-17
البلدية,الصيانة,أبها,مركزي,عقد رقم 2024-056,شركة أرامكو للخدمات,صيانة دورية,المشاريع الاستراتيجية,تشغيلي,إنشاءات,9780000,18,2020-01-27,2021-07-20
البلدية,العمليات,جدة,فرعي,عقد رقم 2024-057,مجموعة الزامل,تطوير البنية التحتية,مشاريع البنية التحتية,مختلط,صيانة,640000,24,2024-08-13,2026-08-03
الإسكان,المشاريع,حائل,فرعي,عقد رقم 2024-058,مجموعة الزامل,تشغيل وصيانة المرافق,الصيانة الدورية,تشغيلي,إنشاءات,320000,48,2022-12-24,2026-12-03
الإسكان,التطوير,جدة,فرعي,عقد رقم 2024-059,شركة الراجحي للمقاولات,صيانة دورية,المشاريع الاستراتيجية,مختلط,خدمات فنية,7890000,36,2024-04-18,2027-04-03
الداخلية,العمليات,الطائف,إقليمي,عقد رقم 2024-060,شركة أرامكو للخدمات,أعمال السباكة,المشاريع الاستراتيجية,مختلط,خدمات فنية,1750000,12,2023-09-08,2024-09-02
الداخلية,الخدمات,المدينة,إقليمي,عقد رقم 2024-061,شركة الفطيم للمقاولات,تطوير المرافق,المشاريع الاستراتيجية,رأسمالي,إنشاءات,940000,18,2023-05-31,2024-11-21
الصحة,العمليات,مكة,فرعي,عقد رقم 2024-062,شركة أرامكو للخدمات,صيانة المباني,التطوير والصيانة,مختلط,خدمات متخصصة,1130000,3,2021-08-05,2021-11-03
الدفاع,المشاريع,الدمام,إقليمي,عقد رقم 2024-063,شركة أرامكو للخدمات,ترميم وتجديد,الخدمات العامة,رأسمالي,خدمات فنية,290000,12,2023-02-13,2024-02-08
النقل,المشاريع,جدة,إقليمي,عقد رقم 2024-064,شركة الفطيم للمقاولات,إنشاءات جديدة,المشاريع الاستراتيجية,مختلط,خدمات متخصصة,250000,24,2024-07-19,2026-07-09
الصحة,الخدمات,تبوك,مركزي,عقد رقم 2024-065,شركة بن لادن السعودية,الخدمات الكهربائية,التطوير والصيانة,تشغيلي,مقاولات عامة,1120000,6,2024-08-05,2025-02-01
الإسكان,الخدمات,الرياض,محلي,عقد رقم 2024-066,شركة بن لادن السعودية,أنظمة التكييف,الصيانة الدورية,رأسمالي,خدمات فنية,25210000,6,2024-11-12,2025-05-11
التعليم,المشاريع,الرياض,محلي,عقد رقم 2024-067,شركة الفطيم للمقاولات,ترميم وتجديد,الصيانة الدورية,مختلط,إنشاءات,1960000,12,2023-01-10,2024-01-05
التعليم,المشاريع,الطائف,مركزي,عقد رقم 2024-068,شركة الفطيم للمقاولات,ترميم وتجديد,مشاريع البنية التحتية,مختلط,مقاولات عامة,250000,48,2021-03-30,2025-03-09
البلدية,المشاريع,الدمام,محلي,عقد رقم 2024-069,مجموعة الزامل,صيانة الطرق,المشاريع الاستراتيجية,تشغيلي,خدمات متخصصة,1410000,6,2021-06-21,2021-12-18
البلدية,التطوير,الطائف,مركزي,عقد رقم 2024-070,مجموعة السعودي الفرنسي,أعمال النظافة,المشاريع الاستراتيجية,تشغيلي,خدمات فنية,180000,18,2021-02-05,2022-07-30
الإسكان,الصيانة,المدينة,فرعي,عقد رقم 2024-071,شركة أرامكو للخدمات,ترميم وتجديد,المشاريع الاستراتيجية,مختلط,صيانة,1740000,18,2021-12-14,2023-06-07
التعليم,العمليات,الدمام,مركزي,عقد رقم 2024-072,مجموعة السعودي الفرنسي,تشغيل وصيانة المرافق,مشاريع البنية التحتية,رأسمالي,خدمات متخصصة,25660000,3,2022-06-21,2022-09-19
البلدية,الصيانة,المدينة,محلي,عقد رقم 2024-073,شركة الفطيم للمقاولات,صيانة المباني,التطوير والصيانة,رأسمالي,خدمات متخصصة,410000,24,2020-10-29,2022-10-19
النقل,التطوير,حائل,فرعي,عقد رقم 2024-074,شركة المباني الحديثة,تشغيل وصيانة المرافق,مشاريع البنية التحتية,تشغيلي,خدمات متخصصة,1040000,18,2021-03-09,2022-08-31
الدفاع,المشاريع,حائل,إقليمي,عقد رقم 2024-075,شركة بن لادن السعودية,تطوير المرافق,مشاريع البنية التحتية,رأسمالي,مقاولات عامة,80000,3,2023-09-20,2023-12-19
الإسكان,العمليات,جدة,مركزي,عقد رقم 2024-076,شركة عبدالله عبدالمحسن الخضري,أعمال النظافة,المشاريع الاستراتيجية,رأسمالي,مقاولات عامة,9650000,24,2023-09-14,2025-09-03
البلدية,الخدمات,القصيم,مركزي,عقد رقم 2024-077,شركة الراجحي للمقاولات,صيانة الطرق,الصيانة الدورية,تشغيلي,خدمات متخصصة,42520000,6,2022-11-07,2023-05-06
الدفاع,العمليات,أبها,محلي,عقد رقم 2024-078,شركة المباني الحديثة,إنشاءات جديدة,مشاريع البنية التحتية,تشغيلي,خدمات فنية,320000,3,2023-12-30,2024-03-29
الدفاع,الصيانة,المدينة,محلي,عقد رقم 2024-079,شركة بن لادن السعودية,صيانة دورية,التطوير والصيانة,رأسمالي,صيانة,310000,24,2021-12-28,2023-12-18
الإسكان,التطوير,القصيم,فرعي,عقد رقم 2024-080,مجموعة صافولا,صيانة الطرق,الصيانة الدورية,رأسمالي,مقاولات عامة,2730000,48,2021-11-30,2025-11-09
التعليم,المشاريع,حائل,فرعي,عقد رقم 2024-081,شركة الراجحي للمقاولات,أنظمة التكييف,الصيانة الدورية,رأسمالي,مقاولات عامة,770000,36,2021-10-01,2024-09-15
التعليم,العمليات,جدة,مركزي,عقد رقم 2024-082,شركة الراجحي للمقاولات,الخدمات الكهربائية,الخدمات العامة,مختلط,إنشاءات,6730000,12,2024-04-26,2025-04-21
الداخلية,العمليات,أبها,إقليمي,عقد رقم 2024-083,شركة الراجحي للمقاولات,صيانة الطرق,مشاريع البنية التحتية,رأسمالي,صيانة,37780000,36,2024-04-16,2027-04-01
التعليم,الخدمات,مكة,فرعي,عقد رقم 2024-084,مؤسسة محمد الموسى,صيانة المباني,التطوير والصيانة,رأسمالي,مقاولات عامة,7130000,24,2020-02-23,2022-02-12
التعليم,التطوير,أبها,محلي,عقد رقم 2024-085,شركة الراجحي للمقاولات,إنشاءات جديدة,الخدمات العامة,رأسمالي,إنشاءات,5130000,60,2020-10-01,2025-09-05
التعليم,المشاريع,مكة,مركزي,عقد رقم 2024-086,شركة الراجحي للمقاولات,تطوير المرافق,الصيانة الدورية,تشغيلي,خدمات فنية,37710000,3,2022-04-16,2022-07-15
الداخلية,الصيانة,حائل,محلي,عقد رقم 2024-087,شركة المباني الحديثة,الخدمات الكهربائية,المشاريع الاستراتيجية,مختلط,خدمات متخصصة,38690000,60,2024-11-10,2029-10-15
الداخلية,الصيانة,مكة,محلي,عقد رقم 2024-088,شركة المباني الحديثة,صيانة المباني,الصيانة الدورية,تشغيلي,خدمات متخصصة,1440000,3,2023-05-01,2023-07-30
الداخلية,العمليات,المدينة,محلي,عقد رقم 2024-089,شركة الراجحي للمقاولات,أعمال السباكة,التطوير والصيانة,مختلط,إنشاءات,280000,3,2024-04-16,2024-07-15
الداخلية,الصيانة,القصيم,مركزي,عقد رقم 2024-090,شركة الراجحي للمقاولات,ترميم وتجديد,الصيانة الدورية,رأسمالي,مقاولات عامة,1850000,12,2023-11-14,2024-11-08
الداخلية,الخدمات,مكة,محلي,عقد رقم 2024-091,مجموعة السعودي الفرنسي,أنظمة التكييف,التطوير والصيانة,مختلط,صيانة,870000,36,2022-04-26,2025-04-10
الداخلية,العمليات,جدة,محلي,عقد رقم 2024-092,شركة المباني الحديثة,صيانة دورية,الصيانة الدورية,رأسمالي,مقاولات عامة,420000,6,2024-01-11,2024-07-09
الدفاع,الخدمات,الدمام,فرعي,عقد رقم 2024-093,شركة الراجحي للمقاولات,إنشاءات جديدة,مشاريع البنية التحتية,تشغيلي,خدمات فنية,130000,48,2023-02-01,2027-01-11
الصحة,المشاريع,مكة,مركزي,عقد رقم 2024-094,شركة النهدي للتطوير,أنظمة التكييف,مشاريع البنية التحتية,تشغيلي,مقاولات عامة,140000,60,2021-09-25,2026-08-30
النقل,التطوير,مكة,فرعي,عقد رقم 2024-095,شركة النهدي للتطوير,أعمال النظافة,المشاريع الاستراتيجية,تشغيلي,مقاولات عامة,510000,60,2024-10-17,2029-09-21
التعليم,الخدمات,المدينة,فرعي,عقد رقم 2024-096,شركة بن لادن السعودية,إنشاءات جديدة,الخدمات العامة,رأسمالي,خدمات فنية,2050000,6,2022-06-23,2022-12-20
البلدية,الخدمات,المدينة,إقليمي,عقد رقم 2024-097,مجموعة السعودي الفرنسي,صيانة المباني,مشاريع البنية التحتية,تشغيلي,صيانة,48790000,12,2020-03-16,2021-03-11
الإسكان,الخدمات,حائل,فرعي,عقد رقم 2024-098,شركة الفطيم للمقاولات,تشغيل وصيانة المرافق,الصيانة الدورية,تشغيلي,إنشاءات,7800000,24,2020-11-26,2022-11-16
البلدية,الصيانة,تبوك,مركزي,عقد رقم 2024-099,شركة عبدالله عبدالمحسن الخضري,تطوير المرافق,الخدمات العامة,رأسمالي,خدمات فنية,1290000,24,2020-07-09,2022-06-29
التعليم,الخدمات,الرياض,مركزي,عقد رقم 2024-100,شركة النهدي للتطوير,تشغيل وصيانة المرافق,الصيانة الدورية,رأسمالي,مقاولات عامة,1950000,48,2021-11-05,2025-10-15
